chapter_id,week,all_feats,buildings,highways,amenities,other,mappers
81,2020-01-20,5927,9,397,56,5465,1
60,2020-01-20,17,2,0,0,15,1
44,2020-01-20,6248,6152,28,3,65,4
42,2022-08-01,2106,1909,132,2,63,2
3,2022-08-01,4851,4456,21,2,372,7
4,2022-08-08,186,148,32,0,6,3
87,2022-08-08,28549,28366,156,2,25,3
1132,2022-08-08,411,26,168,45,172,2
63,2022-08-08,4250,4199,47,1,3,1
93,2022-08-08,20542,19351,475,20,696,1
44,2022-08-08,17754,17572,138,1,43,9
67,2022-08-08,3909,3806,49,0,54,8
1003,2022-08-08,1,0,0,1,0,1
1070,2022-08-15,1559,1378,3,0,178,1
1098,2022-08-15,2221,1586,78,2,555,7
1042,2022-08-15,1254,1162,67,2,23,3
50,2022-08-15,99,49,49,0,1,2
3,2021-01-11,8769,8718,28,1,22,2
1042,2021-01-11,2551,2514,1,3,33,1
1098,2021-01-11,2883,2325,372,27,159,4
179,2021-01-11,4,2,1,0,1,1
1098,2021-01-18,9138,7971,416,128,623,5
42,2021-01-18,433,115,310,0,8,1
1100,2021-01-18,65,43,7,9,6,1
219,2021-01-18,3489,1519,57,174,1739,4
4,2024-10-07,8,3,0,3,2,2
1071,2024-10-07,4502,1320,392,1,2789,1
1482,2024-10-07,6848,0,5115,5,1728,9
91,2024-10-07,223,34,42,6,141,1
1210,2024-10-07,412,348,38,14,12,1
93,2024-10-07,1811,428,15,1,1367,3
108,2024-10-14,515,472,30,0,13,2
1482,2024-10-14,3117,22,2607,0,488,8
1188,2024-10-14,29,1,28,1,-1,1
93,2024-10-14,351,286,60,1,4,2
285,2024-10-14,259,0,202,3,54,1
1059,2024-10-14,744,389,348,0,7,13
110,2024-10-14,1254,1127,119,6,2,7
113,2024-10-14,176,175,1,0,0,2
88,2024-10-14,1957,1241,672,3,41,3
1284,2024-10-21,784,731,9,0,44,1
1149,2024-10-21,8,1,0,7,0,1
3,2024-10-21,2195,2188,6,0,1,3
1075,2024-10-21,959,956,3,0,0,1
1043,2024-10-21,1298,1261,29,0,8,1
1132,2024-10-28,518,23,104,19,372,2
88,2024-10-28,2136,1278,791,0,67,4
1484,2024-10-28,83,0,78,0,5,1
1071,2024-10-28,2088,843,378,0,867,1
93,2024-10-28,119,81,9,0,29,2
1057,2024-10-28,230,208,8,0,14,3
110,2024-10-28,1833,1739,75,2,17,7
71,2024-10-28,578,568,2,0,8,1
964,2024-10-28,1063,52,446,17,548,1
91,2024-10-28,121,6,9,5,101,1
1042,2024-11-04,472,396,66,0,10,1
1068,2024-11-04,5389,5089,279,5,16,11
1070,2024-11-04,2085,2023,59,0,3,1
3,2024-11-04,940,916,8,13,3,6
1098,2024-11-04,6,0,1,1,4,3
75,2024-11-04,5567,5460,77,0,30,8
257,2024-11-04,25,0,24,0,1,1
1041,2024-11-04,2132,2086,17,0,29,8
53,2020-05-04,538,117,350,12,59,4
4,2020-05-04,750,713,25,4,8,1
81,2020-05-04,745,0,36,0,709,1
110,2020-05-04,4531,4303,192,1,35,7
964,2020-05-04,3787,42,647,142,2956,1
5,2020-05-04,1063,774,165,17,107,4
63,2020-05-04,14,0,8,0,6,1
1099,2020-05-11,2196,1950,68,5,173,1
110,2020-05-11,1267,1082,90,3,92,6
1132,2020-05-11,2616,2305,232,4,75,2
1053,2020-05-11,953,936,17,0,0,1
91,2020-05-11,237,86,73,44,34,2
1069,2020-05-11,1191,999,134,0,58,1
5,2020-05-11,1461,1236,166,2,57,4
81,2020-05-11,2162,0,85,0,2077,1
44,2020-05-11,5251,4765,224,0,262,4
86,2020-05-11,133,128,4,0,1,1
44,2020-05-18,6597,6071,352,1,173,4
1132,2020-05-18,3185,2334,641,42,168,2
81,2020-05-18,3639,0,54,0,3585,1
1069,2020-05-18,19,0,19,0,0,1
5,2020-05-18,2369,2249,85,16,19,4
110,2020-05-18,3625,3215,255,1,154,4
1132,2021-09-27,141,13,93,10,25,2
4,2021-09-27,6178,5920,156,8,94,4
110,2021-09-27,7073,6700,313,15,45,8
72,2021-09-27,826,749,58,0,19,2
44,2021-09-27,6805,6741,63,0,1,7
81,2021-10-04,4006,3940,37,6,23,1
44,2021-10-04,29619,29481,134,6,-2,11
72,2021-10-04,1023,920,82,0,21,1
97,2021-10-04,6257,6047,36,8,166,5
110,2021-10-04,2803,2635,129,7,32,8
1045,2021-10-04,145,135,8,0,2,1
88,2021-10-04,4441,3018,10,10,1403,6
42,2021-10-11,647,620,24,0,3,4
1042,2021-10-11,3103,2627,398,2,76,2
958,2021-10-11,5916,4720,1182,0,14,2
1102,2021-10-11,626,482,101,35,8,5
3,2021-10-11,6205,5977,122,0,106,5
1,2021-10-11,2269,2079,185,0,5,4
216,2021-10-11,1781,1344,3,1,433,2
80,2021-10-11,110,93,13,0,4,1
1043,2021-10-11,371,362,3,2,4,1
1098,2021-10-11,488,386,40,0,62,5
110,2021-10-18,687,627,59,0,1,5
72,2021-10-18,1306,1161,111,0,34,1
97,2021-10-18,3205,3194,6,4,1,4
4,2021-10-18,1611,1203,105,21,282,5
88,2021-10-25,2551,2305,1,0,245,3
81,2021-10-25,3180,2958,186,6,30,1
110,2021-10-25,3001,2886,70,3,42,4
97,2021-10-25,2009,1956,37,8,8,6
964,2021-10-25,437,49,102,76,210,1
91,2021-10-25,82,23,22,5,32,1
1098,2017-09-04,19693,19106,263,157,167,5
5,2017-09-11,30530,23482,4760,2,2286,4
4,2017-09-11,11318,9103,1188,1,1026,3
964,2017-09-11,377,167,19,85,106,1
1090,2017-09-11,10232,10018,138,0,76,1
1,2017-09-18,23715,21751,1957,0,7,9
1098,2017-09-18,11622,11327,178,82,35,6
219,2017-09-18,3845,3394,428,14,9,2
1075,2017-09-18,6247,3770,2472,0,5,3
42,2017-09-25,243,222,4,13,4,1
2,2017-09-25,1268,1129,123,3,13,4
1081,2017-09-25,3580,3173,193,21,193,26
1098,2017-09-25,4335,4260,52,13,10,5
90,2017-09-25,1112,1088,8,1,15,11
1,2017-10-02,5358,4655,693,0,10,3
1081,2017-10-02,889,481,129,0,279,4
1100,2017-10-02,12,0,0,2,10,1
2,2017-10-02,613,576,29,4,4,3
1,2017-10-09,6387,5497,883,0,7,4
1098,2017-10-09,32966,32894,23,29,20,6
2,2017-10-09,1079,1024,46,16,-7,3
99,2017-10-09,2686,2435,57,0,194,25
66,2017-10-09,1629,956,428,0,245,1
1075,2017-10-09,5224,4188,1023,0,13,6
1132,2017-10-16,147,16,100,12,19,1
1078,2017-10-16,1201,1039,161,0,1,1
110,2017-10-16,7733,7670,61,1,1,4
1029,2017-10-16,1334,1275,52,2,5,3
57,2016-04-25,35,30,3,1,1,1
1132,2016-04-25,214,0,173,3,38,1
1081,2016-05-02,4203,2948,738,0,517,19
1098,2016-05-02,941,730,88,46,77,6
1096,2016-05-02,8131,8086,19,0,26,2
1085,2016-05-02,489,336,146,2,5,1
1132,2016-05-09,710,3,566,20,121,1
1132,2016-05-16,602,20,397,20,165,1
1132,2016-05-23,282,11,208,20,43,1
1132,2016-05-30,328,7,277,1,43,1
1098,2016-06-06,7611,6986,316,11,298,6
1085,2016-06-06,56,52,4,0,0,1
2,2016-06-06,1468,1090,374,1,3,4
57,2016-06-13,83,39,21,5,18,1
91,2016-06-20,58,15,35,5,3,2
285,2024-11-18,278,3,214,0,61,1
1147,2024-11-25,4109,5,321,0,3783,1
3,2024-11-25,2659,2642,3,12,2,4
75,2024-11-25,1268,1084,161,11,12,7
1524,2024-11-25,4151,4043,101,1,6,3
128,2024-11-25,342,11,329,0,2,1
1041,2024-11-25,1223,1016,131,0,76,5
66,2024-11-25,2491,2456,32,0,3,2
1149,2024-11-25,135,3,8,40,84,1
1068,2024-11-25,1677,1603,61,1,12,5
1098,2024-11-25,179,1,84,2,92,1
1042,2024-12-02,1352,1156,158,17,21,2
1041,2024-12-02,805,676,119,0,10,4
2,2024-12-02,798,158,495,3,142,4
66,2024-12-02,2913,2882,19,2,10,4
1147,2024-12-02,75,0,43,20,12,1
128,2024-12-02,288,9,279,0,0,2
1054,2024-12-02,72,52,14,4,2,3
1043,2024-12-02,9176,1759,128,11,7278,3
3,2024-12-02,1602,1578,20,3,1,4
44,2024-12-09,3013,2117,239,569,88,5
1482,2024-12-09,2379,2,1857,0,520,7
71,2024-12-09,310,304,2,0,4,1
964,2024-12-09,3823,548,607,14,2654,1
1071,2024-12-09,972,630,186,0,156,1
110,2024-12-09,3079,1364,735,810,170,14
67,2024-12-09,256,253,2,0,1,2
1057,2024-12-09,230,217,10,0,3,2
1042,2024-12-16,235,206,23,2,4,2
3,2024-12-16,673,663,1,9,0,4
1524,2024-12-16,1081,1044,30,0,7,2
1162,2024-12-16,87,84,2,0,1,1
1054,2024-12-16,75,44,23,8,0,2
49,2024-12-16,179,115,24,0,40,2
3,2024-12-23,868,847,4,4,13,4
1524,2024-12-23,1806,1746,47,0,13,2
1068,2024-12-23,618,597,19,5,-3,2
1075,2024-12-23,98,97,1,0,0,1
42,2024-12-23,82,0,58,0,24,1
958,2022-09-19,18401,17803,577,0,21,3
1102,2022-09-19,287,150,136,0,1,4
1,2022-09-19,1903,1498,93,51,261,3
3,2022-09-19,3428,1864,115,68,1381,9
1149,2022-09-19,2635,2623,4,0,8,3
958,2022-09-26,24288,23155,1112,1,20,3
1098,2022-09-26,2350,1549,173,26,602,13
1,2022-09-26,2282,1494,108,146,534,3
1043,2022-09-26,586,557,28,1,0,3
1042,2022-09-26,2384,2301,68,0,15,2
1022,2022-09-26,795,459,165,11,160,1
1098,2022-10-03,29642,28877,426,9,330,10
216,2022-10-03,1076,465,3,2,606,3
66,2018-01-22,433,176,246,0,11,1
1098,2018-01-22,6919,6887,7,11,14,5
4,2018-01-29,12407,12074,247,4,82,6
1132,2018-01-29,373,114,211,27,21,2
1059,2018-01-29,402,391,5,2,4,3
87,2018-01-29,221,132,67,21,1,1
5,2018-01-29,42407,40733,1033,10,631,7
91,2018-02-05,408,123,185,15,85,4
5,2018-02-05,44850,43305,927,9,609,8
56,2018-02-12,749,742,7,0,0,2
1132,2022-04-04,319,181,106,18,14,2
44,2022-04-04,20033,18602,1348,2,81,6
100,2022-04-04,88,7,0,79,2,10
4,2022-04-04,400,371,10,0,19,2
53,2022-04-04,431,348,44,19,20,6
2,2022-04-11,161,92,45,6,18,5
1070,2022-04-11,1718,1712,0,0,6,1
3,2022-04-11,9634,9558,51,2,23,9
75,2022-04-11,5243,4737,493,0,13,2
80,2022-04-11,222,206,3,2,11,4
49,2022-04-11,211,69,137,1,4,7
42,2022-04-11,895,765,116,1,13,5
1024,2022-04-18,11019,11003,16,0,0,1
75,2022-04-18,8569,8553,16,0,0,2
1149,2022-04-18,1326,1116,140,1,69,1
3,2022-04-18,11092,10725,265,0,102,11
1098,2022-04-18,3103,1595,165,399,944,12
1080,2018-05-14,350,319,3,0,28,1
1190,2018-05-14,6526,6518,4,0,4,2
53,2018-05-14,214,177,7,13,17,3
